id,name,host_name,host_since,latitude,longitude,room_type,accommodates,price,price_nzd,minimum_nights,number_of_reviews,last_review,review_scores_rating,region_name,region_parent_name
l11909616,Rental unit in Opononi · ★4.73 · 1 bedroom · 2 beds · 1 private bath,Richard,2012-08-01,-35.51398,173.38955,Private room,3,$100.00,100.0,1,505,2023-08-25,4.73,Kaikohe-Hokianga Ward,Far North District
l44538694,Farm stay in Miranda · ★4.93 · 3 bedrooms · 1 bed · 1 bath,Judi,2020-08-03,-37.17297,175.28864,Entire home/apt,7,$190.00,190.0,1,61,2023-04-15,4.93,Plains Ward,Hauraki District
l695685053729167791,Bungalow in Martinborough · 2 bedrooms · 2 beds · 1 bath,Bachcare,2017-08-09,-41.2234,175.44969,Entire home/apt,4,$314.00,314.0,2,2,2023-01-28,5.0,Martinborough Ward,South Wairarapa District
l931591167956934516,Home in Minden · ★New · 4 bedrooms · 5 beds · 1.5 baths,Paul,2018-03-13,-37.70032610501523,176.0405600636345,Entire home/apt,10,$700.00,700.0,5,0,,,Kaimai Ward,Western Bay of Plenty District
l669685796106302232,Home in Wānaka · ★4.69 · 5 bedrooms · 6 beds · 3 baths,Justine,2017-05-12,-44.6820031,169.15780159999997,Entire home/apt,10,$846.00,846.0,1,16,2023-08-21,4.69,Wanaka Ward,Queenstown-Lakes District
l47705689,Hotel in Katikati · ★5.0 · 2 bedrooms · 3 beds · 1 private bath,Erin,2019-05-10,-37.55721,175.91707,Private room,5,$270.00,270.0,1,4,2022-05-29,5.0,Katikati-Waihi Beach Ward,Western Bay of Plenty District
l775665954568030098,Home in Whangaparāoa · 3 bedrooms · 3 beds · 1 bath,Sasha,2022-12-06,-36.6451,174.73815,Entire home/apt,5,$250.00,250.0,1,1,2023-05-07,5.0,Albany Ward,Auckland
l50118792,Cottage in Kinloch · ★4.86 · 3 bedrooms · 3 beds · 1.5 baths,Carmen,2020-02-13,-38.662929999999996,175.9188,Entire home/apt,6,$400.00,400.0,2,22,2023-08-12,4.86,Turangi-Tongariro Ward,Taupo District
l36576886,Home in Hanmer Springs · ★4.74 · 3 bedrooms · 6 beds · 1 bath,Pauline,2019-07-10,-42.51502,172.83307,Entire home/apt,8,$206.00,206.0,2,58,2023-08-12,4.74,West Ward,Hurunui District
l31540227,Home in Haumoana · ★4.90 · 3 bedrooms · 3 beds · 1.5 baths,Rebecca,2020-05-17,-39.64216,176.9416,Entire home/apt,5,$400.00,400.0,2,91,2023-08-05,4.9,Kahuranaki Ward,Hastings District
l719830413519809409,Home in Red Beach · ★5.0 · 4 bedrooms · 5 beds · 2.5 baths,Petronella,2018-05-05,-36.60176,174.68673,Entire home/apt,7,$450.00,450.0,4,6,2023-07-03,5.0,Albany Ward,Auckland
l38702350,Villa in Queenstown · ★5.0 · 5 bedrooms · 6 beds · 2.5 baths,Bridget,2016-04-05,-45.02426,168.68958999999995,Entire home/apt,10,"$1,613.00",1613.0,3,26,2023-08-20,5.0,Queenstown-Wakatipu Ward,Queenstown-Lakes District
l31990975,Home in Kaikoura · ★4.55 · 2 bedrooms · 2 beds · 2 baths,Kaikoura Holiday Homes,2015-11-05,-42.416779999999996,173.70586,Entire home/apt,4,$181.00,181.0,2,47,2023-07-10,4.55,Area Outside Ward,Kaikoura District
l883078974919276291,Home in Papamoa · 3 bedrooms · 3 beds · 2 baths,Sarah,2018-01-21,-37.730367,176.34423600000005,Entire home/apt,6,$350.00,350.0,1,0,,,Mount Maunganui-Papamoa Ward,Tauranga City
l38732716,Rental unit in Russell · ★5.0 · 4 bedrooms · 6 beds · 2 baths,Olivia,2016-06-10,-35.26339,174.12694,Entire home/apt,8,$365.00,365.0,2,38,2023-07-31,5.0,Bay of Islands-Whangaroa Ward,Far North District
l855900680665906267,Home in Silverdale · ★4.86 · 1 bedroom · 1 bed · 1 private bath,Jolene,2023-03-26,-36.61130317301244,174.67160591694946,Private room,2,$96.00,96.0,1,21,2023-08-14,4.86,Albany Ward,Auckland
l576891065989785719,Rental unit in Auckland · ★4.60 · 1 bedroom · 1 bed · 1 bath,Stefan,2016-08-06,-36.84413,174.76418999999999,Entire home/apt,2,$195.00,195.0,1,45,2023-08-28,4.6,Waitematā and Gulf Ward,Auckland
l740080457921639925,Home in Dunedin · ★5.0 · 2 bedrooms · 2 beds · 1.5 baths,Christy,2020-06-15,-45.91577,170.47943999999995,Entire home/apt,4,$450.00,450.0,3,6,2023-08-06,5.0,Area Outside Ward,Dunedin City
l5905042,Home in Blenheim · ★4.96 · 2 bedrooms · 3 beds · 1.5 baths,Rose,2014-01-29,-41.53334,173.91109,Entire home/apt,5,$350.00,350.0,2,27,2023-02-05,4.96,Wairau-Awatere Ward,Marlborough District
l47405853,Hut in National Park · ★4.43 · 1 bedroom · 2 beds · 1 shared bath,Miki,2015-08-31,-39.16449,175.48308,Private room,3,$65.00,65.0,2,14,2023-01-15,4.43,National Park Ward,Ruapehu District
l13363295,Home in Oamaru · ★4.65 · 1 bedroom · 2 beds · 2 shared baths,Agra,2016-06-05,-45.10396,170.96733999999995,Private room,2,$120.00,120.0,1,17,2023-04-08,4.65,Oamaru Ward,Waitaki District
l49452902,Home in Christchurch · ★4.76 · 3 bedrooms · 3 beds · 1.5 baths,Leanne,2018-01-06,-43.459559999999996,172.58825,Entire home/apt,6,$240.00,240.0,2,17,2023-04-30,4.76,Harewood Ward,Christchurch City
l39820544,Guest suite in Whanganui · ★4.90 · 1 bedroom · 2 beds · 1 bath,Vicky,2019-10-06,-39.92647,175.04761000000005,Entire home/apt,2,$130.00,130.0,1,99,2023-08-05,4.9,Area Outside Ward,Whanganui District
l869825936832818493,Home in Greytown · ★5.0 · 3 bedrooms · 3 beds · 2 baths,Kate,2018-10-13,-41.08240170000001,175.4537585,Entire home/apt,6,$550.00,550.0,2,3,2023-07-29,5.0,Greytown Ward,South Wairarapa District
l937737502740904874,Home in Picton · ★New · 3 bedrooms · 4 beds · 1 bath,Bachcare,2017-08-09,-41.29254007210151,174.0096490220329,Entire home/apt,6,$307.00,307.0,2,0,,,Marlborough Sounds Ward,Marlborough District
l39263124,Home in Wanaka · ★5.0 · 4 bedrooms · 5 beds · 3 baths,Emily,2015-11-12,-44.67658,169.1576,Entire home/apt,8,$600.00,600.0,7,13,2023-08-03,5.0,Wanaka Ward,Queenstown-Lakes District
l46297846,Home in Wanaka · 3 bedrooms · 3 beds · 2 baths,Frances,2018-12-27,-44.677640000000004,169.16352,Entire home/apt,4,$300.00,300.0,3,1,2021-01-02,5.0,Wanaka Ward,Queenstown-Lakes District
l32473976,Home in Auckland · 1 bedroom · 1 bed · 1 shared bath,Ceci,2019-02-18,-36.89324000000001,174.65241,Private room,2,$100.00,100.0,1,0,,,Waitākere Ward,Auckland
l832660621033019861,Rental unit in Wellington · 2 bedrooms · 3 beds · 2 baths,Jason,2022-09-29,-41.29504,174.7788,Entire home/apt,4,$380.00,380.0,2,1,2023-06-05,5.0,Pukehīnau/Lambton Ward,Wellington City
